season,team,team_key,level,conference_2020_21,wins,losses,win_pct,delta,rating_rank,rating,power_rank,power,offense_rank,offense,defense_rank,defense,hfa,sos_rank,sos,source_row
2025-26,Wright St,wright st,NCAA D1,,23.0,12.0,0.657,-1.0,137.0,7.12,146.0,32.59,125.0,93.98,214.0,16.19,2.71,217.0,27.89,138
2025-26,St Thomas MN,st thomas mn,NCAA D1,,24.0,10.0,0.706,-1.0,138.0,7.12,144.0,32.72,136.0,93.05,181.0,17.24,2.83,271.0,26.56,139
2025-26,Pacific,pacific,NCAA D1,,18.0,15.0,0.545,,139.0,7.12,158.0,31.42,276.0,88.71,1.0,20.28,2.8,115.0,32.4,140
2025-26,Col Charleston,col charleston,NCAA D1,,21.0,11.0,0.656,,14.0,7.11,153.0,31.79,158.0,92.12,18.0,17.25,2.76,188.0,28.69,141
2025-26,Georgia Tech,georgia tech,NCAA D1,,11.0,20.0,0.355,,14.0,17.1,121.0,34.63,12.0,94.25,168.0,17.96,2.82,87.0,35.77,142
2025-26,Valparaiso,valparaiso,NCAA D1,,18.0,15.0,0.545,,14.0,27.09,172.0,30.89,247.0,89.76,147.0,18.71,2.81,121.0,32.07,143
2025-26,Washington St,washington st,NCAA D1,,12.0,20.0,0.375,,14.0,37.09,108.0,35.84,94.0,95.52,169.0,17.9,2.97,96.0,34.66,144
2025-26,Boston College,boston college,NCAA D1,,11.0,20.0,0.355,,144.0,7.09,126.0,34.03,259.0,89.34,65.0,22.26,2.79,88.0,35.77,145
2025-26,Toledo,toledo,NCAA D1,,19.0,15.0,0.559,,145.0,7.07,136.0,33.2,96.0,95.43,238.0,15.34,2.86,162.0,29.54,146
2025-26,Arkansas St,arkansas st,NCAA D1,,20.0,12.0,0.625,,146.0,7.07,139.0,32.97,8.0,96.52,292.0,14.03,2.84,2.0,28.39,147
2025-26,WKU,wku,NCAA D1,,18.0,14.0,0.563,1.0,147.0,7.07,148.0,32.47,122.0,94.13,223.0,15.91,2.85,146.0,30.33,148
2025-26,Louisiana Tech,louisiana tech,NCAA D1,,20.0,14.0,0.588,-1.0,148.0,7.07,149.0,32.1,348.0,86.7,51.0,22.97,2.81,192.0,28.6,149
2025-26,Temple,temple,NCAA D1,,16.0,16.0,0.5,,149.0,7.06,131.0,33.6,179.0,91.42,114.0,19.75,2.88,139.0,31.0,150
2025-26,Charlotte,charlotte,NCAA D1,,17.0,17.0,0.5,,15.0,7.06,17.0,31.01,235.0,89.96,151.0,18.63,2.85,12.0,32.22,151
2025-26,Furman,furman,NCAA D1,,22.0,13.0,0.629,,15.0,17.05,15.0,31.99,187.0,91.23,155.0,18.34,2.82,244.0,27.07,152
2025-26,Winthrop,winthrop,NCAA D1,,23.0,11.0,0.676,,15.0,27.05,167.0,31.11,105.0,95.02,311.0,13.67,2.8,25.0,26.9,153
2025-26,Penn,penn,NCAA D1,,18.0,12.0,0.6,,15.0,37.05,192.0,29.74,185.0,91.3,218.0,16.02,2.86,148.0,30.22,154
2025-26,Fresno St,fresno st,NCAA D1,,13.0,19.0,0.406,,154.0,7.04,141.0,32.86,195.0,91.04,125.0,19.4,2.94,1.0,34.25,155
2025-26,UT Arlington,ut arlington,NCAA D1,,18.0,14.0,0.563,1.0,155.0,7.03,168.0,31.1,33.0,87.31,82.0,21.37,2.84,151.0,30.11,156
2025-26,MTSU,mtsu,NCAA D1,,17.0,15.0,0.531,1.0,156.0,7.03,155.0,31.63,164.0,91.88,177.0,17.33,2.95,14.0,30.97,157
2025-26,Rhode Island,rhode island,NCAA D1,,16.0,16.0,0.5,1.0,157.0,7.03,152.0,31.85,269.0,88.94,93.0,20.49,2.94,128.0,31.7,158
2025-26,Nova SE,nova se,NCAA D2,,32.0,2.0,0.941,-3.0,158.0,7.03,163.0,31.28,3.0,100.8,49.0,58.05,2.61,417.0,13.55,159
2025-26,ETSU,etsu,NCAA D1,,23.0,11.0,0.676,1.0,159.0,7.02,165.0,31.19,253.0,89.49,127.0,19.28,2.82,283.0,26.15,160
