target,source_conference,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
porpag,Big Ten,21,1.1275719271626246,0.8674488070014033,-0.08940405787012899,1.549589261904762,1.4601852040346328
porpag,MWC,33,1.1164934503256556,1.0868183017793065,0.06474505658448901,1.389296287878788,1.454041344463277
porpag,RMAC,5,1.0971428584688827,0.924848248497324,-0.8618578499743956,1.8022497999999998,0.9403919500256045
porpag,OVC,6,1.096094482034174,1.1861437595397133,-0.12711518216010295,1.5748973333333334,1.4477821511732305
porpag,SWAC,4,1.078342220497518,1.078407568204974,-0.5918871231366549,1.2168673025,0.6249801793633452
porpag,Atlantic 10,9,1.0702055116187177,0.6901593023364241,-0.9970401557343137,2.016790222222222,1.0197500664879084
porpag,Big South,5,1.058855807441994,0.5694702311178463,-0.7717427868426079,2.2616895999999995,1.489946813157392
porpag,Pac-12,26,1.0524564168608295,1.2046159807268124,0.03397463787906106,1.267015446153846,1.3009900840329072
porpag,Big Sky,13,1.042626792032166,0.9265198619645618,-0.1109801616100564,1.2027188223076923,1.091738660697636
porpag,CUSA,11,1.0164964679932733,0.920497876465134,0.08959363904508538,1.3497197272727273,1.4393133663178126
porpag,LSC,3,1.0154997904496648,1.1031341885219137,-0.23712491013737805,1.2242080666666666,0.9870831565292887
porpag,WCC,18,1.0096581970840302,0.9339445311811702,0.19750467660839408,1.1995041266666666,1.3970088032750607
porpag,AAC,12,1.0058738995342584,0.8460409912592493,-0.5014248329577661,1.7808434166666667,1.2794185837089007
porpag,Big East,19,0.988074919118454,1.1428826035932778,-0.07312828711373817,1.601012322105263,1.527884034991525
porpag,West Coast,10,0.9531199302027945,0.8493753673179432,0.46529422027994094,0.6961116,1.1614058202799409
porpag,ACC,20,0.930623704201676,0.7605417851256637,-0.264283300958711,1.6078544999999997,1.3435711990412889
porpag,PAC 12,9,0.9173603341132193,0.8611375242033138,0.34396967540158974,0.5592526666666667,0.9032223420682565
porpag,Summit,5,0.9090612938599654,0.9247868826526336,0.3858875651551589,1.0334591999999998,1.4193467651551588
porpag,Mountain East,1,0.8979011907998642,0.8979011907998642,0.8979011907998642,-0.470553,0.4273481907998642
porpag,Southland,11,0.8961564016526861,0.887394318022928,-0.13611122256028996,1.180158090909091,1.044046868348801
porpag,Big XII,5,0.8940108696204223,1.0388632844852563,-0.3658522225346889,1.8819598,1.5161075774653112
porpag,MAAC,12,0.8379004007671353,0.7815803390507821,-0.2764214885001734,1.5273225416666667,1.2509010531664932
porpag,A-10,13,0.8326809344858308,0.8563377325181953,0.10190797605710838,1.2970974384615384,1.3990054145186468
porpag,Missouri Valley,4,0.8286954074181905,0.6890780709872711,0.5520332744261758,0.60722175,1.1592550244261757
porpag,Big 12,17,0.8236255504576753,0.8254532731794537,0.01786007477115182,1.4385879411764706,1.4564480159476225
porpag,Mountain West,9,0.8193434921752529,0.8800966838952258,0.5162306712062826,0.26558040000000005,0.7818110712062827
porpag,SSC,4,0.809425267563589,0.967243148334904,0.3172168724875856,1.162179,1.4793958724875855
porpag,A-Sun,7,0.8041360563313251,0.725678730013162,-0.3272424738152688,1.9322775714285714,1.6050350976133028
porpag,American,3,0.7914850693878656,0.4971561965741573,0.46004760500509406,0.7612103333333332,1.2212579383384272
porpag,PacWest,7,0.7828121269117224,0.4865245554051922,-0.4273147058799468,1.466527,1.0392122941200532
porpag,CAA,6,0.7799623877526839,0.7242493599402773,0.4279166721770287,0.8488131500000001,1.2767298221770287
porpag,SCIAC,1,0.7751583681456601,0.7751583681456601,0.7751583681456601,-0.666616,0.1085423681456601
porpag,Sun Belt,10,0.763848334099288,0.48619704972933053,0.28893153456791815,1.0810702600000002,1.3700017945679182
porpag,WAC,17,0.7442616546532893,0.8072498217013973,0.09069688019844471,1.3452411176470587,1.4359379978455036
porpag,MAC,7,0.726193120978431,0.5642660006940258,-0.08212474098127506,1.4040198571428573,1.321895116161582
porpag,Horizon,10,0.7233766319647483,0.7422119088332794,0.24567911276812376,0.62494018,0.8706192927681238
porpag,Ivy,4,0.711658826993321,0.5699427000535052,0.4731302587995825,0.298922,0.7720522587995824
porpag,Big West,26,0.6601794050848322,0.4703431101811566,-0.004484662183387116,0.9791992850384615,0.9747146228550745
porpag,NEC,4,0.6358408960367807,0.5929729003797106,-0.015667032943348418,1.15670325,1.1410362170566517
porpag,Patriot,9,0.608360686593648,0.4426614674389759,-0.03551345596205037,1.2294192,1.1939057440379495
porpag,Ohio Valley,3,0.6073833236930795,0.3423001146671258,0.41977219118070447,0.314495,0.7342671911807043
porpag,Summit League,2,0.5928682422100091,0.5928682422100091,0.5928682422100091,0.7682353,1.361103542210009
porpag,Northwest,1,0.5676867076731849,0.5676867076731849,0.5676867076731849,-1.30394,-0.7362532923268152
porpag,CCAA,7,0.5417861176131427,0.26685295430956,0.13084289731414211,0.772452,0.9032948973141421
porpag,Patriot League,1,0.5410968440279256,0.5410968440279256,0.5410968440279256,1.01524,1.5563368440279255
porpag,AmEast,3,0.45897461558550795,0.5383521877955572,0.002205237010289851,1.3150116666666667,1.3172169036769565
porpag,Southern,7,0.439026020507582,0.3755592686420428,0.12285575816572529,1.1753642857142859,1.298220043880011
porpag,United East,1,0.0349853708787166,0.0349853708787166,-0.0349853708787166,-0.421783,-0.4567683708787167
