player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column
Dominick Harris,Atlantic 10,D1,UCLA,Loyola Chicago,2024-25,2025-26,big_west_obpr
Michael Meadows,Atlantic 10,D1,Portland,Saint Louis,2022-23,2023-24,big_west_obpr
Kilian Brockhoff,Atlantic 10,D1,UC Santa Barbara,Saint Louis,2023-24,2024-25,big_west_obpr
Connor Odom,Atlantic 10,D1,Utah State,VCU,2022-23,2023-24,big_west_obpr
Will McClendon,American,D1,San Jose State,North Texas,2024-25,2025-26,big_west_obpr
Jimmy Oladokun,American,D1,San Diego,Rice,2023-24,2024-25,big_west_obpr
Jefferson Koulibaly,American,D1,Washington State,SMU,2021-22,2022-23,big_west_obpr
Brian Amuneke,American,D1,Fresno State,Wichita State,2024-25,2025-26,big_west_obpr
Dylan Anderson,Missouri Valley,D1,Boise State,Murray State,2024-25,2025-26,big_west_obpr
J.P. Moorman II,Big West,D1,Temple,UC Riverside,2020-21,2021-22,big_west_dbpr
Jacob Davison,Big West,D1,Eastern Washington,Cal Poly,2020-21,2021-22,big_west_dbpr
Modestas Kancleris,Big West,D1,Creighton,Cal State Bakersfield,2021-22,2022-23,big_west_dbpr
Yacine Toumi,Big West,D1,Seton Hall,Hawaii,2024-25,2025-26,big_west_dbpr
Ryan Rapp,Big West,D1,Washington State,Hawaii,2021-22,2022-23,big_west_dbpr
Aleks Szymczyk,Big West,D1,Charlotte,Cal State Northridge,2024-25,2025-26,big_west_dbpr
Judson Martindale,Big West,D1,Pacific,Cal State Northridge,2023-24,2024-25,big_west_dbpr
Lathaniel Bastian,Big West,D2,Angelo State,Cal State Fullerton,2021-22,2022-23,big_west_dbpr
Miloš Vićentić,Big West,D2,McKendree,UC San Diego,2023-24,2024-25,big_west_dbpr
Caleb McCarty,Big West,D1,South Carolina State,Cal State Bakersfield,2024-25,2025-26,big_west_dbpr
Kieran Elliott,Big West,D2,West Texas A&M,Cal Poly,2023-24,2024-25,big_west_dbpr
Jalen Cooper,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2022-23,2023-24,big_west_dbpr
Ethan Menzies,Big West,D2,Colorado Mesa,Cal Poly,2023-24,2024-25,big_west_dbpr
Denzel Hines,Big West,D1,Coastal Carolina,UC Riverside,2024-25,2025-26,big_west_dbpr
Isaac Spears,Big West,D1,Montana State,Cal Poly,2021-22,2022-23,big_west_dbpr
Dylan Godfrey,Big West,D1,Canisius,UC Riverside,2024-25,2025-26,big_west_dbpr
Jerome Palm,Big West,D1,Valparaiso,Hawaii,2023-24,2024-25,big_west_dbpr
Jalen Myers,Big West,D1,Norfolk State,Hawaii,2024-25,2025-26,big_west_dbpr
Sydney Shipp,Big West,D2,Occidental,Cal State Fullerton,2022-23,2023-24,big_west_dbpr
Festus Ndumanya,Big West,D1,Southern,Cal State Northridge,2023-24,2024-25,big_west_dbpr
Derek Sangster,Big West,D1,Princeton,UC Davis,2023-24,2024-25,big_west_dbpr
Chris Mitchell,Big West,D2,Cal State San Bernardino,UC Santa Barbara,2023-24,2024-25,big_west_dbpr
Daniel Tobiloba,Big West,D1,South Florida,UC Riverside,2024-25,2025-26,big_west_dbpr
Matija Svetozarević,Big West,D1,Portland,Hawaii,2021-22,2022-23,big_west_dbpr
Efton Reid,WCC,D1,Louisiana State,Gonzaga,2021-22,2022-23,big_west_dbpr
Matar Diop,WCC,D1,Nebraska,Loyola Marymount,2023-24,2024-25,big_west_dbpr
MJ Amey,WCC,D1,San Jose State,Loyola Marymount,2023-24,2024-25,big_west_dbpr
Nakyel Shelton,WCC,D1,Eastern Illinois,Loyola Marymount,2024-25,2025-26,big_west_dbpr
Malcolm Christie,WCC,D1,Oakland,Oregon State,2024-25,2025-26,big_west_dbpr
Stephen Olowoniyi,WCC,D1,Southern Indiana,Oregon State,2024-25,2025-26,big_west_dbpr
Kris Keinys,WCC,D1,Minnesota,Pacific,2023-24,2024-25,big_west_dbpr
Alexis Marmolejos,WCC,D1,Lamar,Pacific,2024-25,2025-26,big_west_dbpr
KC Ibekwe,WCC,D1,Washington,Pacific,2024-25,2025-26,big_west_dbpr
Boubacar Coulibaly,WCC,D1,Southern California,Pepperdine,2021-22,2022-23,big_west_dbpr
Alonso Faure,WCC,D1,Loyola (MD),Pepperdine,2023-24,2024-25,big_west_dbpr
