player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Dearon Tucker,dearon-tucker2,Cal State Northridge,cal-state-northridge,2022-23,-0.139251,https://barttorvik.com/playerstat.php?year=2023&p=71457,Dearon Tucker,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2023.csv
Miloš Vićentić,milo-vienti,UC San Diego,uc-san-diego,2024-25,-1.97585,https://barttorvik.com/playerstat.php?year=2025&p=127055,Milos Vicentic,UC San Diego,matched_player_and_team,Bart data/trank_data_2025.csv
Beril Kabamba,beril-kabamba2,Cal State Fullerton,cal-state-fullerton,2023-24,-0.581764,https://barttorvik.com/playerstat.php?year=2024&p=79124,Beril Kabamba,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2024.csv
Paul Bizimana,paul-bizimana,Cal Poly,cal-poly,2023-24,-0.180236,https://barttorvik.com/playerstat.php?year=2024&p=74759,Paul Bizimana,Cal Poly,matched_player_and_team,Bart data/trank_data_2024.csv
Caleb McCarty,caleb-mccarty,Cal State Bakersfield,cal-state-bakersfield,2025-26,1.27193,https://barttorvik.com/playerstat.php?year=2026&p=79033,Caleb McCarty,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2026.csv
Jalen Cooper,jalen-cooper,Cal State Fullerton,cal-state-fullerton,2023-24,-0.449225,https://barttorvik.com/playerstat.php?year=2024&p=78842,Jalen Cooper,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2024.csv
Kieran Elliott,kieran-elliott,Cal Poly,cal-poly,2024-25,0.547449,https://barttorvik.com/playerstat.php?year=2025&p=126754,Kieran Elliott,Cal Poly,matched_player_and_team,Bart data/trank_data_2025.csv
Denzel Hines,denzel-hines,UC Riverside,uc-riverside,2025-26,-0.93289,https://barttorvik.com/playerstat.php?year=2026&p=79375,Denzel Hines,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Ethan Menzies,ethan-menzies,Cal Poly,cal-poly,2024-25,-0.121551,https://barttorvik.com/playerstat.php?year=2025&p=127651,Ethan Menzies,Cal Poly,matched_player_and_team,Bart data/trank_data_2025.csv
Isaac Spears,isaac-spears,Cal Poly,cal-poly,2022-23,0.00732369,https://barttorvik.com/playerstat.php?year=2023&p=75709,Isaac Spears,Cal Poly,matched_player_and_team,Bart data/trank_data_2023.csv
